A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
0.0,0.0,0.0,0.0,0.0,0.0,1.16,1.22,0.772,0.0,0.3,0.0,0.155,0.15,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.778,0.0,84.0
0.0,0.0,2.12,0.0,0.0,0.0,1.4,2.3,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,50.0
0.0,2.01,0.0,0.0,1.4,0.0,1.5,2.8,2.4,1.7,0.0,0.0,1.4,0.0,0.0,2.1,0.15,0.0,0.0,0.0,0.5,0.0,0.0,0.0,16.0
1.1,0.0,0.0,0.0,1.05,0.0,0.0,1.96,3.75,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.1,0.15,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
0.0,0.0,0.96,0.0,0.0,4.56,0.54,2.2,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,3.15,0.0,0.9,0.0,0.0,1.1,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
0.0,0.0,1.4,0.0,0.0,1.5,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,62.0
0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.45,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,54.0
1.2,0.2,0.0,0.0,1.2,0.0,0.0,0.5,0.25,0.78,0.0,0.45,0.0,0.0,0.0,1.2,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.3,32.0
0.9,0.0,2.1,0.0,0.0,2.1,0.12,0.5,1.96,0.17,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,46.0
0.0,0.0,0.0,0.0,2.1,0.0,0.9,1.05,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,86.0
0.0,0.9,1.2,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.52,1.3,33.0
0.0,0.0,0.9,0.0,0.6,0.0,0.0,1.0,0.53,0.51,0.0,0.15,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.45,0.0,0.26,68.0
0.0,2.5,0.0,0.0,0.8,0.5,0.12,0.6,0.0,0.0,0.06,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,64.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.27,0.0,0.35,0.31,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.0,0.0,1.5,0.0,52.0
0.9,0.0,0.3,0.0,0.0,0.7,0.0,0.42,0.45,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,64.0
0.4,0.6,0.0,0.0,0.4,0.0,0.177,1.1,0.15,0.0,0.23,0.8165,0.0,0.0,0.6,0.23,0.01,0.0,0.0,0.21,0.0,0.0,0.0,0.0,52.0
0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.32,1.83,0.25,0.0,2.22,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,52.0
0.0,0.9,0.0,0.0,0.0,0.0,1.1,1.6,0.81,0.0,0.366,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.6,56.0
0.0,0.0,0.8,0.0,0.4,0.7,0.0,1.49,0.23,0.0,0.3,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.15,0.0,50.0
0.0,0.8,0.0,0.0,0.5,0.0,0.0,1.2,0.0,0.56,0.0,0.99,0.0,0.0,0.65,0.18,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,42.0
0.0,0.6,0.0,0.0,0.0,0.0,1.25,1.2,0.89,0.0,0.66,0.5,0.0,0.32,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.15,0.0,60.0
1.2,0.0,0.9,0.0,1.4,0.0,0.0,1.1,2.43,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
0.0,1.4,0.0,0.0,0.0,0.8,0.0,0.23,1.25,0.0,0.89,1.92,0.0,0.0,0.66,0.16,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,26.0
1.5,0.0,0.5,0.0,0.6,0.0,0.0,0.23,0.0,0.12,0.32,1.19,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.62,0.0,58.0
0.0,1.5,0.0,0.0,0.5,0.0,0.4,2.26,2.77,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.26,0.46,0.0,60.0
0.0,0.0,0.4,0.0,0.7,0.9,0.0,0.0,0.0,0.0,0.23,0.0,0.15,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.36,0.0,1.16,1.35,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,36.0
0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.79,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.48,0.0,0.0,0.0,0.0,50.0
0.0,0.0,0.5,0.0,1.4,2.4,0.056,1.42,0.15,0.23,0.0,0.0,0.0,0.718,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.78,0.0,0.0,52.0
0.0,1.9,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.15,0.74,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,46.0
0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.6,3.4,0.0,0.66,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
0.0,1.2,0.0,0.0,1.1,2.1,0.0,0.315,0.0,0.0,0.22,0.95,0.89,0.0,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.0,0.0,48.0
0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.15,2.0,0.0,0.45,0.56,0.0,0.0,1.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,42.0
0.0,0.0,0.0,0.0,0.0,1.9,0.15,0.8,0.0,0.78,0.66,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,87.0
0.0,0.6,0.0,0.0,0.0,1.5,0.0,0.0,1.12,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.58,0.0,0.65,0.12,0.0,0.0,1.2,0.15,0.0,0.0,0.0,0.0,0.45,0.0,1.25,0.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.1,0.0,0.23,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
0.0,0.9,0.0,0.0,0.0,0.0,0.95,0.0,12.5,0.15,2.6,0.15,0.0,1.22,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.12,0.0,0.0,0.81,0.065,0.0,0.0,0.0,0.0,0.05,0.9,0.4,0.56,54.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.84,0.0,0.78,0.0,0.15,0.66,1.05,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,64.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.9,0.0,0.0,0.15,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
0.0,0.0,0.0,0.555,0.0,0.0,0.45,0.0,0.95,0.0,0.0,0.0,0.56,0.0,0.45,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.156,0.48,0.0,0.0,0.0,64.0
0.0,2.45,0.85,0.0,0.0,0.0,0.665,0.6,0.145,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0.0,0.0,0.0,2.3,0.0,0.56,0.0,0.45,0.7,0.0,0.796,1.28,0.47,0.55,0.0,0.0,0.12,1.2,0.0,0.0,0.11,0.48,0.0,0.0,34.0
0.0,0.25,1.23,0.0,0.98,0.0,0.6,0.87,1.3,0.0,0.26,0.32,0.0,0.58,0.23,0.05,0.06,0.01,0.0,0.0,0.12,0.23,0.0,0.26,34.0
0.5,0.0,0.0,0.0,0.26,2.3,0.23,0.0,0.23,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,82.0
0.0,0.0,0.5,0.15,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,58.0
0.0,0.11,0.0,0.0,0.66,0.0,0.0,0.32,1.3,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
0.07,0.0,0.0,0.0,0.26,2.5,0.65,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,1.2,36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.2,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,50.0
0.0,0.66,0.36,0.0,1.23,0.0,0.6,0.0,0.15,0.3,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,62.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.25,44.0
0.0,0.65,0.1,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.26,0.0,0.0,74.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.12,0.23,0.0,0.0,0.12,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,70.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.69,0.0,0.3,0.15,0.0,0.0,0.0,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,54.0
0.0,1.23,0.1,0.0,0.33,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.55,54.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.14,0.0,0.0,0.0,76.0
0.4,0.0,0.16,0.25,0.0,0.78,0.81,1.25,0.12,0.1,0.0,0.79,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.12,0.0,0.0,1.2,0.0,32.0
0.0,0.12,0.0,0.0,0.32,1.25,0.0,0.49,0.23,0.21,0.49,0.0,0.45,0.0,0.0,0.1,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.36,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.7,0.0,0.0,0.0,0.0,0.0,0.44,0.0
0.3,0.0,0.0,0.0,0.0,1.23,0.5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.6,0.0,0.62,0.0,0.756,1.23,0.0,0.0,0.0,0.11,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.23,0.15,0.23,0.0,0.0,62.0
0.0,0.0,0.0,0.66,0.0,0.0,1.23,0.25,0.7,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,58.0
0.2,1.23,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.513,0.3,0.83,0.0,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.55,8.0
0.1,0.0,0.06,0.0,0.0,1.56,0.0,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.4,0.0,54.0
0.5,0.0,0.0,0.12,1.23,0.0,0.12,1.22,0.12,0.12,0.122,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.01,0.0,0.0,0.0,70.0
0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.9,0.36,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.36,0.0,0.0,0.15,0.0,0.6,48.0
0.0,1.56,0.0,1.65,0.0,0.0,1.5,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,35.0
0.0,0.0,0.6,0.0,0.23,1.05,0.53,0.47,0.38,0.3,0.01,0.11,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.15,0.04,0.0,0.25,0.5,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.15,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
0.08,0.0,0.0,1.3,0.12,0.0,1.75,0.6,0.12,0.22,0.34,0.0,0.55,0.0,0.0,0.04,0.01,0.4,0.45,0.0,0.0,0.15,0.0,0.0,18.0
0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.75,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.05,0.0,0.0,0.0,52.0
0.0,0.0,0.0,0.0,1.23,0.98,0.6,0.9,0.33,0.32,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.5,72.0
0.6,0.0,0.48,0.0,1.01,0.0,0.0,0.3,0.0,0.0,0.3,0.15,0.0,0.0,0.15,0.4,0.0,0.08,0.0,0.56,0.0,0.0,0.0,0.0,28.0
0.0,0.0,0.05,0.0,1.35,0.0,2.24,0.0,0.22,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.55,0.0,0.2,0.56,0.0,0.0,32.0
