IRI0,Rainfall,Temperature min,Temperature max,Truck CV,Target IRI
4.86,1358.6,2990,4853,1645,5.3
3.96,1358.6,2990,4853,1645,5.6
4.36,1358.6,2990,4853,1645,4.5
3.96,1358.6,2990,4853,1645,4.7
4.5,1358.6,2990,4853,1645,5.4
4.25,1358.6,2990,4853,1645,7.2
5.72,1358.6,2990,4853,1645,9
6.09,1358.6,2990,4853,1645,9.5
4.65,1158.5,2990,4853,1645,8.2
5,1158.5,2990,4853,1645,5.6
3.93,1158.5,2990,4853,1645,4.8
3.66,1158.5,2990,4853,1645,6
4.2,1158.5,2990,4853,1645,5.4
4.04,1158.5,2990,4853,1645,4.5
4.25,1158.5,2990,4853,1645,6
4.23,1158.5,2990,4853,1645,4.5
5.03,1158.5,2990,4853,1645,5.3
3.99,1158.5,2990,4853,1645,5.3
4.31,1158.5,2990,4853,1645,4.5
4.52,1158.5,2990,4853,1645,5.1
4.41,1158.5,2990,4853,1645,5.9
3.5,1158.5,2990,4853,1645,4.5
3.88,1158.5,2990,4853,1645,5.1
4.63,1514.5,2990,4853,1645,5.7
4.65,1514.5,2990,4853,1645,4.8
4.14,1514.5,3956,2548,575,4.3
3.7,1514.5,3956,2548,575,3.8
4.44,1514.5,3956,2548,575,4.6
4.07,1514.5,3956,2548,575,4.7
4.02,1483,3956,2548,575,4.2
4.31,1483,3956,2548,575,4.7
3.78,1483,3956,2548,575,3.8
4.04,1483,3956,2548,575,5.1
3.7,1483,3956,2548,575,4.3
4.65,1483,3956,2548,575,5.3
4.97,1483,3956,2548,575,6.1
4.38,1483,3956,2548,575,5.8
4.71,1483,3956,2548,575,5.8
4.54,1483,3956,2548,1346,5.5
4.71,1483,3956,2548,1346,5.6
4.82,1483,3956,2548,1346,6.1
4.52,1483,3956,2548,1346,5.3
5.22,1483,3956,2548,1346,5.9
4.5,1483,3956,2548,1346,5.8
4.31,1483,3956,2548,1346,4.6
5.53,1483,3956,2548,1346,7.5
4.57,1483,3956,2548,1346,5.3
4.55,1483,3956,2548,1346,5.7
5.85,1483,3956,2548,1346,6.4
5.7,2086.2,2936,5378,1346,6.8
5.02,2086.2,2936,5378,1346,6.6
5.1,2086.2,2936,5378,1346,6.3
4.71,2086.2,2936,5378,1346,6.8
5,2086.2,2936,5378,1346,5.4
4.14,2086.2,2936,5378,1346,6
4.73,2086.2,2936,5378,1346,6.8
4.98,2086.2,2936,5378,1346,6.7
4.84,2086.2,2936,5378,1346,5.8
4.92,2086.2,2936,5378,1346,5.6
4.78,2086.2,2936,5378,1346,6.4
4.82,2086.2,2936,5378,1346,6.2
6.74,2086.2,2936,5378,1346,7.4
8.63,2086.2,2936,5378,1346,9.5
9.35,2086.2,2936,5378,1346,12.2
6.34,3331,2948,5136,1346,9.3
7.74,3331,2948,5136,1346,10.8
1.75,3331,2948,5136,1346,10.7
8.38,3331,2948,5136,1346,8.6
6.15,4231,2970,4899,1346,8.1
3.98,1691.4,2880,5238,108,4.1
4.2,1691.4,2880,5238,108,5.3
3.74,1709.9,2880,5238,108,4.4
4.44,561.5,4314,0,850,4.7
4.2,1264.3,4314,0,850,4.6
4.79,1264.3,4314,0,850,4.9
4.71,1264.3,4314,0,850,5.1
7.464,639.7,3671,5354,337,7.6
5.608,1096.4,4007,5798,86,6.5
6.168,1096.4,4007,5798,86,7.3
6.168,1096.4,4007,5798,86,7.4
6.888,1342,3431,5514,1193,8.4
6.36,1342,3431,5514,958,7.2
4.376,1356.4,3476,5266,163,4.6
5.592,2093.4,3476,5266,163,5.6
4.584,2093.4,3476,5266,163,7.3
11.592,2283.4,3476,5266,245,12.8
10.472,4231,3476,5266,245,13.6
9.8,4231,3476,5266,245,12.4
7.816,4231,2970,4899,245,8.8
5.96,1977.2,3407,5486,350,6.8
4.87,4154.9,6604,11198,1510,5.5
4.66,3232.4,6604,11198,2440,6.4
5.61,3727.1,6604,11198,2440,6.1
3.74,3727.1,6604,11198,2440,4
