S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,IRI
295,0.12,0.15,0.31,0,0,0,0,0.23,0.8,0.11,0.46,0.64,0,0,0.92,0,0,0,0.18,0,0,0.15,0,0,4.15
296,0,0,0,0,0.145,0.262,0.2,0.35,0.92,0,0,0.533,0,0.23,0.213,0,0,0.02,0,0,0,0,0,0,5.99
297,0.51,0,0.15,0.15,0,0,0,0,0,0,0.26,0.65,0,0,0.32,0,0,0,0,0,0,0,0,0,5.48
298,0,0.3,0,0,0.54,0,0,0,0.2,0.3,0,0.11,0.13,0.23,0,0,0,0,0,0,0,0.1,0,0,2.44
299,0,0.6,0,0,0,1.1,0.2,0,0.945,0,0.11,0,0.11,0,0,0,0,0,0,0,0,0,0,0,2.85
300,0,0,0.562,1.21,0.156,0,0.3,0.844,0,0,0,0.12,0,0,0.33,0,0,0,0,0,0,0,0,0,4.88
301,0.15,0,0,0,0,0,0.1,0.11,0,0,0,0.32,0,0.23,0.3,0,0,0,0,0,0,0,0,0,4.56
302,0,0,0.62,0,1.23,1.32,0.11,0,0.23,0,0.43,0.21,0,0.15,0.35,0,0.01,0,0,0,0.15,0,0,0,4.98
303,0,0,0.6,1.2,0,0,0.385,0,0.52,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85
304,0.56,0.15,0.11,0,0.32,0,0.25,0.44,0.23,0,0.42,0.12,0.13,0,0.44,0,0,0,0,0,0,0,0,0,4.56
305,0,0,0,0,0,0.41,0.23,0,0,0.15,0.23,0.44,0.23,0.12,0.11,0,0,0,0,0,0,0,0,0,6.15
306,0,0,0.62,0.65,1.21,0,0,0.26,0,0.21,0.32,0.23,0,0.3,0,0,0,0,0,0.01,0,0,0,0,7.65
307,0.56,0.15,0,0,0,0.45,0.614,0,0,0.11,0.4,0.2,0,0,0.132,0,0,0,0,0,0,0.2,0,0,3.5
308,0,0,0,0,0.15,0,0.29,0.23,0.55,0,0.23,0,0,0,0.67,0,0,0,0,0,0,0,0,0,1.08
309,0,0,0.3,0.85,0.52,0,0,0.33,0,0.15,0.33,0,0,0,0,0,0,0,0,0.15,0,0,0,0,2.63
310,0.41,0.66,0.6,0,0.15,0.65,0.11,0.232,0.15,0.32,0,0.3,0.32,0.12,0.15,0,0,0,0,0,0,0,0,0,4.58
311,0,0.62,0,0,1.21,0,0,0.443,0.626,0,0.11,0,0,0.32,0.266,0,0,0,0,0,0,0,0,0,2.39
312,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58
313,0.15,0,0.3,0,0,1.65,0.75,0,0.45,0,0,0.5,0.12,0.32,0,0,0,0,0,0,0,0,0,0,2.65
314,0,0.15,0,0,0.6,0,0.216,0.15,0.91,0,0.36,0.2656,0,0,0,0,0,0,0,0,0,0.02,0,0,1.54
315,0,0,0.03,0.15,0.62,0,0,0.55,0.75,0.25,0,0.651,0,0,1.25,0,0,0,0,0,0,0,0,0,2.68
316,0,0.51,0,0,0,0.356,1.11,0,0,0,0.25,0.25,0,0.03,0,0,0,0,0,0,0,0,0,0,4.55
317,0.32,0.25,0,0,0.62,0.652,0,0.14,0.14,0,0.58,0.626,0,0,0,0,0,0,0,0,0,0,0,0,1.45
318,0.5,0.21,0.31,0.6251,0,0.44,0.876,0,0.11,0,0.15,0.252,0,0,0,0,0,0,0,0,0,0.35,0,0,2.15
319,0,0.125,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,1.14
320,0,0,0.2,0,0.45,0,0,0.35,0,0.12,0.224,0.05,0,0.75,1.63,0,0.085,0,0,0,0,0,0.2,0,4.87
321,0,0,0,0,0,0.41,0.32,0.15,0,0.15,0.26,0.66,0,0,0,0,0,0,0,0,0,0,0,0,2.66
322,0,0.133,0.3,0.74,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84
