S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,IRI
323,0,0,0,0.3,0.54,0,0,0.22,0,0,0,0,0.25,0,0.45,0,0.055,0,0,0,0,0,0,0,2.48
324,0,0.52,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.12,0,2.9
325,0,0.13,0.6,0,0,0,0.32,0.11,0.15,0.22,0.36,0,0,0,0.11,0.01,0,0,0.11,0.2,0,0,0,0,5.48
326,0,0,0,0.32,0.11,0,0,0,0.66,0.11,0.32,0,0,0,0,0,0.01,0.03,0,0.01,0,0.12,0,0,6.25
327,0,0,0,0,0,0,0.15,0.5,0,0,0.3,0.1,0,0.32,0,0.02,0.021,0,0,0,0.15,0.13,0.32,0,5.14
328,0,0.15,0,0,0,0,0.27,0.58,0,0,0,0,0,0.12,0,0,0,0.01,0,0.01,0,0,0,0.52,3.14
329,0,0,0,0,0,0,0,0.45,0.46,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,2
330,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.6,0.015,0.15,0,2.52
331,0,0.74,0.11,0,0,0,0.685,1.11,0,0.15,0.44,0.25,0,1.261,0.37,0,0.001,0.005,0,0,0,0,0,0,5.69
332,0,0,0,0,0.15,0,0.15,0.55,0,0.23,0.32,0,0,0.32,0,0.01,0,0,0,0,0.22,0,0,0,2.17
333,0,0,0.32,0,0,0,0,0.32,1.11,0.14,0.15,0,0,0.11,1.31,0,0,0,0,0,0,0.62,0,0.62,4.63
334,0,0.6,0.32,0,0,0,0,0.28,1.23,0,0.62,0.11,0,0,0,0,0,0.06,0,0.11,0,0,0,0,7.98
335,0,0,0,0,0.65,0,0.22,0,0,0,0.372,0.35,0,0.826,1.84,0,0.05,0.005,0,0,0,0,0.66,0,6.56
336,0,0,0,0,0,0,1.18,0.65,0.55,0,0.62,0,1.25,0,0.23,0.3,0,0.008,0,0,0,0,0,0,6.98
337,0,0.77,0,0,0,0,0.11,1.7,1.37,1.06,0.78,0.12,0.615,0.15,0.15,0,0,0,0,0.52,0,0.616,0,0.15,6.41
338,0,0,0.221,0,1.52,0,0.52,0.32,0,0,0.12,0,0,0.62,0,0,0,0,0,0,0,0,0,0,2.85
339,0,0,0,0,0,0,0.66,0.25,0.55,0.15,0.25,0.65,0,0.302,1.76,0,0,0,0,0,0.21,0,0.55,0,6
340,0,0.62,0,0,0,0,0.2,0.55,0.15,0,0.3,0.25,0.62,0.82,0.15,0.06,0,0.008,0,0,0,0,0,0.16,4.65
341,0,0,0.12,0,0.55,0,0.15,1.8,0.51,0,1.27,0,0,0.36,0,0,0,0,0,0.566,0,0.62,0,0,4.33
342,0,0,0.12,0,0,0,1.22,0,0.15,0,0.6,0,0,0,2.451,0,0.02,0,0,0,0,0,0.51,0.15,4.85
343,0,0,0,0,0,0,0.6,0.15,0.52,0,0.63,0.65,0,0.51,0,0,0,0,0,0,0.12,0,0,0,4.14
344,0,0,0,0,1.55,0,0.36,2,0,0.415,0.84,0,0.52,0.25,0.15,0.05,0.01,0,0,0.66,0,0,0,0,4.11
345,0,0.626,0.22,0,0,0,0,0,0,0,0,0.63,0,0.84,0.51,0,0,0,0,0,0,0,0,0,4
