Section,ACLM,ACH,LTLM,LTH,PLM,PH,BH,PaLM,PaH,RuLM,RuH,DBL,DBH,RoadRoidIRI
38,0.66,0,0,0.654,0,0.216,0.12,0.164,0,0,0,0.765,1.221,5.249
39,1.2,0.339,0.654,0.927,0,0.248,0,0.338,0,0,0.164,0.654,0.109,5.985
40,0,0,0,0,0,0,0.15,0.305,0,0,0,1.123,1.112,2.745
41,0,0,0.664,0.687,0,0,0.4,0.36,0,0,0,1.439,0,2.844
42,0,0,0.016,0.035,0,0,0.6,0,0,0.327,0,0.687,0.164,2.466
43,0.05,0,0,0.824,0,0,0.08,0,0,1.079,0.207,0.283,0,2.616
44,0,0,0,0,0.011,0,0.29,0.218,0,0,0,0.741,0.251,2.652
45,0.65,0,1.744,0.703,0,0,0,0,0.545,0.36,0,0,0,2.352
46,0.3,0,0,0.654,0.132,0,1,0,0.087,0,0,0.763,0,3.583
47,0,0,0.687,1.504,0.11,0,0,0,0,0,0,0,0.218,3.255
48,0.1,0.068,0.218,0.153,0,0.043,1.56,1.526,0,0,0,0.137,0,3.445
49,0,0,1.69,1.995,0,0,0,1.308,0,0,0.087,0,0,3.324
50,0,0.565,1.609,0.164,0.077,0,3.8,0.85,0,0.523,0,0.273,2.42,6.002
51,0,0.904,1.624,0.251,0,0,1.1,0.164,0,0,1.079,0.251,0,4.182
52,0.8,0,1.09,1.951,0.022,0,0,0,0,0,0.283,0.327,0.174,3.655
53,0.11,0,1.308,0,0,0,1.472,0.927,1.7,0,0,0,2.017,4.521
54,0.8,0,0.142,0,0,0.648,3.66,0,0.36,0,0,0.828,0.654,10.177
55,0,0,0.491,1.036,0.242,0,0.555,0,0,0,0.654,0.807,0,3.878
56,2.4,0,1.635,0,0.011,0.054,1.2,0,0,0,0.12,0,0,4.283
57,0,1.356,0.545,0.654,0,0,0,2.834,0,0,0,0,0,4.648
58,0,0,0.61,0.632,0.165,0,0,1.363,0,0.327,0,1.962,0,3.524
59,1.45,0,2.562,0,0,1.091,0,0,1.69,0.403,0,0.709,0.131,13.779
60,0,0,1.254,0.872,0,0.086,0.48,0.512,0,0,2.18,0,0,3.809
61,0,0.712,0.97,0,0,0.065,2.6,0.719,0,0,0,0.164,0.48,5.014
62,0,1.808,0,3.052,0,0,0,0,0,0.719,0.251,0.927,0.782,6.552
63,0.6,0,0,1.221,0.099,0,1.5,0,0,0,0,0,0.436,3.979
64,0,1.017,0,0.763,0.66,0.065,0,0.6,0,0.327,0.807,0,0.251,7.166
65,1.65,0,0.283,0.24,0.011,0.324,0.26,0,0,0,0,0,0,5.954
66,0.52,0,1.461,0.61,0.099,0.119,0.15,0,0.719,0,0.349,0.469,0.164,4.723
67,0.04,1.187,0.36,0,0,0.108,1,2.507,0,0.164,0,3.375,0,5.969
68,1.2,1.469,0.709,0.251,0.363,0,1.05,0.709,0,0,0,0,0.491,6.884
69,0.9,0,1.036,13.625,0.165,0,0,0,0,0,0,0.556,0,9.659
70,0,2.802,1.482,0,0.682,0,2.42,2.703,0,0,0,2.998,0.164,10.524
71,0,0,2.245,0,0,0,0,0,0,0.392,0.273,1.352,0,2.562
72,0,0,0,0,0,0,0,0,0.131,0,0,0,0,2.074
73,0,1.424,0.164,0.403,0.253,0,0,0,0.85,0,0,0,0,5.583
74,0.45,0,0,0,0.341,0,0,0.491,0,0.164,0.61,0.709,0,3.754
75,0.04,0,3.804,0.654,0.44,0,0.6,0,0,0,0,1.025,0.606,6.12
76,0.8,0,0.872,0.36,0,0,0.62,0,0.545,0,0,0.131,0.403,6.231
77,0,0,1.733,0,0.022,0.756,0,0,0.48,1.036,0,0.327,0.164,10.258
78,0.3,0,0.545,0.981,0,0.648,1.23,0,0,0,1.046,0.109,0,12.651
79,1.2,0,0.343,0,0.055,0,3.2,0,0,0.6,0,0,0,6.321
80,0,0,0.654,0.834,0.088,0,1,0.654,0,0,0,0.24,1.036,4.215
81,0,0,0.894,0.654,0.077,0,0,0.196,0,0,0,1.369,0.164,3.205
82,0.3,0,0.251,0.752,0.132,0.011,0,0,0,0,0,1.008,0,3.354
83,1.23,0.113,0.741,0,0.132,0.022,0.33,0,0.6,0.392,0,0.327,0.164,5.26
84,0,1.085,2.987,0,0.165,0,4.56,0,0,0,0,0,0,3.325
85,0,0,1.308,0.981,0.22,0,0,0.164,0.654,0.491,0.055,0.85,0,3.652
86,0,0,0.698,0,0,0,0.18,0,0,0,0.894,0.828,0,4.21
87,1.11,0,0,0.719,0,0,0,0,0,0,0,0.158,0,2.852
88,1.842,1.446,0,0,0,0,1.28,2.638,0,0,0.087,0.981,0.327,6.958
89,2.5,0,0.545,3.488,0,0,0,0,0,0.719,0,0,0,4.258
90,0,0.904,1.624,0.251,0,0,1.1,0.164,0,0.523,0,1.635,0,4.625
91,0,0,0.861,1.254,0.33,0,0,0.12,0,0,0,0.327,0.174,4.005
92,0.8,0,1.09,1.951,0.022,0,0,0,0,0,0.567,1.264,0,3.758
93,0,0,0.491,0.12,0,0.076,0,0,0.164,0,0.654,0,2.017,3.258
94,0.9,2.373,0.676,2.136,0,0,2.1,0,0,0,0.251,0.164,0.153,4.259
95,1.2,0,0.392,0.883,0,0,0.99,0,0.719,0,0,0.305,0,3.652
96,0,0.678,0,1.482,0,0,0,0,0,0,0,0.643,0.387,3.021
97,1.4,0,0.545,0.273,1.375,0,1.2,0.218,0.327,0,0,1.264,1.472,7.252
98,0,0,1.962,0.872,0,0.259,0.8,0,0,0,0,0.85,0.491,3.258
99,0.9,1.356,0,0.164,0.165,0,0.2,0.567,1.417,0,0,1.657,0,6.369
100,0,0.509,0.327,0.654,0,0.281,0,0,1.046,0,0,0,0.131,5.985
101,1.56,0,2.071,0.218,0,0.162,1.65,0,0,0,0,0.741,0,5.652
102,2.45,0.961,1.379,0.158,0.165,0,0,0,0,0.131,0,0,0,5.625
103,0.11,0,0.349,1.417,0.055,0,0.66,0,0,0,0,0,0,3.854
104,0.8,0,1.308,0,0.198,0,0.5,0,0,0,0.523,0,0,3.519
105,1.2,0,0.164,2.18,0.33,0,0,1.373,0,0,0,0.61,1.079,5.557
106,1.9,0,0,0,0,0,2.6,0,0,0,0,0.491,0.61,4.185
107,0,0,0.229,0,0,0,0,0,0,0,0.251,0.251,0,2.105
108,0,0.296,1.395,0.436,0,0.086,0.54,0.492,0,0.164,0,0,0,3.859
109,0.65,0,0,1.962,0,0,0.6,0,0,0,0,1.21,0,3.651
110,0,0,1.417,0,0,0,2.1,0.164,0,0,0,0.487,0.654,3.347
111,0.15,0.565,0.676,1.417,0.33,0,0,0,0,0,0,0.033,1.417,5.456
112,0,0,2.398,2.507,0,0,2.1,0,0,0,0,1.788,0,4.566
113,0.56,0,0.48,0.578,0,0,1.2,0,0,0,0.016,0,1.09,3.498
114,1.2,0,0.283,0.131,0,0,0,0,0,0,0,0.36,0,2.706
115,0,0,0.317,0.185,0,0,0,0,0,0,0.009,0,0,2.138
116,0,0,0.512,0.131,0.044,0,0,0,0,0,0,0.696,0.763,2.727
117,0,0,0.164,0,0,0,1.46,0,0,0,0,0,0,2.586
118,0,0.26,0.165,0.164,0,0,0,0,0,0,0,0.447,0.383,2.704
119,0,0,0.698,0,0,0,0.18,0,0,0.005,0,0,0.349,2.308
120,0.55,0,0,0.164,0,0,0,0,0,0,0,0.158,0,2.362
121,0.12,0,0.251,0,0.132,0,0,0,0,0,0,0,0.165,2.663
122,0,0.26,0,0.251,0,0,0,0.044,0,0,0,0,0,2.501
123,0,0.362,0.264,0.471,0.022,0,0,0,0,0,0,0.273,0.142,2.96
124,0,0,0,0.273,0,0,0.11,0,0,0,0,0.3,0.164,2.297
125,0,0.339,0,0.373,0,0,0,0,0,0,0,0.371,0.134,2.78
126,0,0.113,0.579,0.251,0,0,0,0.149,0.12,0.055,0,0.24,0.12,2.526
127,0,0.158,0.469,0.131,0,0,0,0.109,0,0,0,0,0,2.366
128,0,0.339,0.556,1.014,0.099,0,0,0.36,0.011,0,0,1.011,0.327,3.658
129,0,0.961,0.483,0.262,0,0,0.23,0,0,0,0,0.035,0,3.254
130,0,0.588,0,0,0.009,0,0,0.044,0,0,0,0,0,2.654
131,0,0.452,0.447,0.251,0.135,0,0.15,0.01,0,0,0,0.441,0.218,3.528
132,0,0.158,0,0.382,0,0,0.23,0,0,0,0.218,0.469,0.013,2.625
133,0,0.339,0,0.774,0.01,0,0,0.009,0,0,0,0.12,0.436,3.028
134,0,0,0.144,0.262,0.363,0.011,0.11,0.134,0,0,0,0,0,3.11
135,0,0,0,0,0,0,0.11,0,0,0,0,0.174,0.131,2.658
136,0,0,0,0,0,0,0.15,0,0,0,0,0.131,0,2.686
137,0,0,0,0.136,0,0,0,0,0,0,0,0,0,2.025
138,0,0,0,0,0,0,0.32,0,0.059,0,0,0,0.164,2.325
139,0,0,0,0.251,0,0,0.12,0,0,0,0,0.392,0,2.542
140,0,0,0.275,0,0,0,0.15,0,0.131,0,0,0.131,0.447,2.885
141,0.15,0,0,0.24,0,0,0,0,0,0,0,0.349,0,3.565
142,0,0.023,0.131,0.131,0,0,0,0,0,0,0,0,0.165,3.652
143,0,0,0,0.109,0,0,0.33,0,0,0,0,0.12,0,3.226
144,0,0,0.196,0.131,0,0,0.32,0,0,0,0,0.164,0,3.262
145,0.22,0,0.338,0,0,0,0,0,0,0,0,0.743,0,1.254
146,0,0,0.436,0.229,0,0,0,0.022,0,0,0,0.709,0,1.658
147,0,0,0.439,0,0,0,0.23,0,0,0,0.218,0.251,0,2.355
148,0,0,0.447,0.131,0,0,0,0,0,0,0.011,0,0.145,3.256
149,0,0,0,0,0,0,0.11,0,0,0,0,0,0,2.625
150,0,0.136,0,0.273,0,0,0,0,0,0,0,0,0,2.879
151,0,0,1.018,0.144,0,0,0.23,0,0,0,0,0,0,2.148
152,0.1,0,1.341,0,0,0,0,0.349,0,0,0,0,0,2.155
153,0,0,0,0,0,0,0,0,0,0,0,0,0,2.626
154,0,0,0.6,0,0.242,0,0.87,0,0,0,0,0,0,3.329
155,0,0,0.403,0,0,0.216,0,1.711,0,0,0,0.545,0,4.304
156,1.47,0,0.131,0,0,0.097,0,2.42,1.363,0,0,0,0,4.507
157,2.24,0,0.044,0,0.099,0,0.23,0,0,0.894,0.916,0,0,3.657
158,1.52,0,0,0,0,0,0.74,2.769,0,0,0.044,0,0,3.328
159,1.26,0.231,2.193,0,0,0,2.4,3.488,0.872,0,0.12,0.229,0,4.974
160,0.07,0,0.153,0,0.099,0,1.69,0,0.349,0,0,0.645,0,3.347
161,0.04,0,0.142,0,0.033,0,1,0,0.491,0,0,0,0,2.783
162,1.84,0,1.33,0.458,0,0,0.82,1.003,0.218,0,0,0,0,3.754
163,0,0.927,0,1.09,0,0,0.52,0,0.436,1.33,0,0,0,4.352
164,2.84,0,0.698,0.676,0,0,0,2.616,0,0.654,0,0.741,3.488,5.627
165,2.48,0,4.077,0,0,0,1.2,0,0,0,0,0,0,4.073
166,1.05,0,0.349,0,0,0,0,0,0,0,0,0,0,2.526
167,1.2,0,0.872,0,0,0,2.6,1.635,0,0.283,0,0,0,3.875
168,0,0,0,0.85,0,0,0,0.164,0,0,0,0.654,0,2.538
169,0,0,2.126,0,0,0,2.1,0,0,0.251,0,0.883,0,3.231
170,0,0,1.068,0,0.172,0,0,0,0,0.654,0,0,0.709,3.138
171,0,1.356,1.559,0,0,0,0.65,0,0.709,0.545,0,0.981,0,4.897
172,0,0,0.676,0.251,0,0,0,0,0,0.164,0.044,0,0,2.23
173,0.66,0.407,0.654,0.164,0,0,1.23,0,0,0,0,0,0.131,3.558
174,0,0.678,1.09,0.414,0.088,0,1.28,0.273,0.545,0,0.153,0.436,0,4.487
175,0,0,1.635,0.36,0,0,2.21,0.251,0.545,0,0,0.338,0.12,3.609
176,0,0,0,0.36,0.011,0.011,0,0,0,0,0,0.349,0.109,2.421
177,0,0,0.251,0.164,0,0,0,0,0,0,0,0.218,0,2.154
178,0,0,0.218,0.327,0,0,1.9,0,0,0,0,0,0.218,3.003
179,0.6,0,1.406,0,0,0,0,0,0,0.131,0.496,0,0,2.511
180,0,0,0.654,0.61,0,0,1.2,0,0,0.654,0,0.818,0,3.025
181,0,0.294,0,0,0,0,0,0.131,0,0,0,1.232,0,2.65
182,1.21,0.66,0.78,0.127,0.151,0.14,3.273,0,0.327,0,0,0.32,0.88,9.12
183,0.4,0.65,1.23,0.11,0.33,0.09,4.65,0.52,1.23,0.055,0,0.12,0.14,9.484
184,0,0,2.082,0,0.253,0.054,0,0,0.273,0,0,0.164,0.807,4.189
185,7.65,0,4.709,3.259,0.275,0,0,3.237,0,0,0,0,0,8.995
186,0,0,1.548,0.131,0.143,0.054,0,0.273,0,0,0,0.469,0,3.395
187,0,0,0.654,0,0.275,0,0.45,0,0,0,0,0,0,3.301
188,0,0.452,0,0,0.66,0,1.6,0,0,0,0,0,0,5.751
189,1.88,0,3.019,0,0,0.367,0,0,0,1.766,0,2.747,0,7.125
190,0,0,3.652,0,0,0.562,0,0,0,0,0.458,0,0,7.544
191,0.92,0,0.458,0,0.44,0,2.64,0.654,0,0.981,0,0.491,0,5.397
192,0,0.475,0.937,1.319,0,0,2.42,0,3.357,0.61,0,0.445,0,6.04
193,0.88,0,1.315,3.662,0,0,0.96,1.526,0.196,0,0,1.45,0,5.17
194,0.42,0,2.32,0,0,0,4.92,3.357,0.654,0,0,0.501,0,5.158
195,1,0,1.145,0,0,0,0,0,0,0,0,0.231,0,2.637
196,0,0.949,2.616,0,0,0,0,0.654,3.052,0.349,0,4.469,0,5.937
197,0.92,2.011,2.616,0,0,0,1.2,0.785,0,0,0,0,0,6.126
198,0,0,0.17,0.164,0.055,0,0,0,0,0.687,0,0.512,0.719,3.625
199,0,0,2.409,0.164,0,0.248,0.25,0,0,0.719,0,0.927,0.392,8.985
200,0.51,0,2.605,0.164,0,0.013,0,0.679,0,0.218,0,0,0.687,4.526
201,0,0.17,0,0.055,0.055,0,0.66,0,0.382,0.273,0.234,1.276,0,4.129
202,0,0,0.732,0.12,0,0.035,0,0,0,0,0,0.85,0,3.125
203,0.4,0.17,1.766,1.33,0.572,0,0,0,0.709,0,0,0.719,0.109,9.635
204,0,0.678,0.164,0.573,0,0,1.65,0,0,0,0,0.665,0,4.998
205,0,0,0.709,0.763,0,0,0,0,0,0,0,0.417,0,3.325
206,0.11,0,0.262,0.667,0.066,0,0,0,0,0,0,0.164,0.545,3.665
207,1.18,0,0.959,0,0.055,0,1.8,0.349,0,0,0,0.61,0,3.214
208,0,0,0.916,0,0,0,0,0.093,0,0,0,0.948,0,3.21
209,0,0,0.461,0.109,0,0.011,0.65,0.602,0,0,0,0,0.719,4.005
210,0.33,0,0.613,0.36,0,0,2.44,0,0,0,0,0.927,0.273,4.788
211,0.51,0,0,0,0,0,2.83,0.164,0,0,0,0.61,0,6.325
212,0,0,0.687,0,0.011,0,0,0,0,0,0,0.164,0,6.325
213,0,0.746,0.545,0.785,0,0.065,0.26,0,0,0,0,0,0,4.135
214,0.5,0,0.635,0.164,0,0,0.61,0,0,0,0,0,0,2.638
215,0,0,0.839,0.164,0,0,0,0.567,0,0,0,1.439,1.297,4.005
216,0.52,0,1.128,1.123,0.001,0,1.2,0,0,0,0,0.164,0,4.012
217,0.55,0,0.927,0.6,0.055,0,0.75,0,0,0,0,1.014,0.349,3.228
218,0.55,0,0.632,0.24,0,0,1.17,0.382,0.283,0,0,1.33,0.234,4.225
219,0,0.565,3.064,0.17,0,0.006,1.02,0.12,0,0,0,0.807,0.164,6.107
220,0.61,0,2.115,1.559,0,0.086,0,0,0,0,0,0.436,1.417,7.032
221,0.88,0,0.525,2.235,0.011,0.022,0.61,0,0,0,0,0.436,0,6.223
222,0.145,0,0.61,1.57,0,0.011,0,0.164,0,0,0,0.927,0,4.258
223,0,0.17,0.905,1.068,0,0,0,0,0,0.349,0,0.73,0,3.998
224,0.015,0,1.286,2.093,0,0.086,0.148,0,0,0.164,0,0.109,0.709,7.895
225,0,0,1.985,0.927,0.132,0,0,0.327,0.545,0.349,0,0.164,0.164,6.223
226,0,0,1.21,0.71,0.121,0.162,1.16,0,0.172,0.164,0,0.894,0.567,9.633
227,0,0.294,1.591,0.981,0.033,0,0,0,0.491,0,0,1.341,0,2.68
228,0.23,0.294,3.379,0,0,0,0.5,0,0,0,0.654,0.436,0.283,3.254
229,0,0,0,2.333,0.726,0,0,0.719,0,0.327,0,0.85,0.134,6.256
230,0,0,1.071,0.807,0,0,1,0,0,1.145,0,0.763,0.131,3.244
231,0,0.565,0.392,0.654,0,0,0,0.654,0,0,0,1.395,0.785,3.54
232,0,0.17,0.436,0,0,0,0.05,1.45,0,0,0,1.319,0,2.88
233,0.26,0,0.763,0.661,0.099,0,0,0,0,0,0,0,0,2.658
234,0.73,0,1.978,0.072,0,0,0,0.185,0,0,0,0.525,0.065,2.548
235,0.56,0,0.158,0,0,0,0.632,0.861,0,0.523,0,0.181,0.24,2.744
236,0,0,0.311,0.545,0,0,0.15,0,0,0,0,0,0.065,2.741
237,0,1.119,1.155,0.807,0,0,0.5,0.654,0,0.545,0,0,0.436,2.658
238,0,0.633,1.7,0.834,0,0,0.05,1.363,0,0,0.164,0.349,0,2.051
239,0,0,0.785,0,0,0,0.23,0,0,0,0.349,0.109,0,3.256
240,0,0,0.273,0.709,0.022,0,0,0,0,0,0,0.24,0,3.221
241,0.06,0,0,0,0,0,0,0.654,0,0,0,0.534,0,3.26
242,0,0,0.567,0,0.055,0,0,0,0,0.218,0,0.573,0.229,2.55
243,0,0,0,0,0,0,0.26,0,0,0.382,0.011,0,0,2.158
244,0.5,0,0.251,0.251,0,0,2.56,0,0,0,0.283,0,0.251,3.488
245,0.5,0,1.461,0.131,0,0,1.35,0,0,0.218,0,0.469,0,3.082
246,2.4,0,1.635,0,0,0,0,0.491,0.283,0.382,0.011,0.264,0.491,3.762
247,0,0,2.594,0.841,0,0,0,0.848,0,0,0,0,0,2.825
248,0.5,0,1.461,0.131,0,0,1.35,0,0,0.251,0.164,0.327,0,3.078
249,0,1.187,0.251,0,0.033,0,0.71,0.36,0,0,0,0.264,0.491,4.396
250,0,0.678,2.165,0,0,0,0.62,0.251,0,0,0,0,0,3.493
251,0,0,0.262,0.174,0.022,0,1.03,0,0,0,0.654,0,0.12,2.713
252,1.5,0,2.289,0.164,0,0,0,0,0,0.164,0,0,0.894,3.42
253,0,2.396,4.033,0,0,0,0,0,0,0,0,0,0.153,5.932
254,2.1,0,0,0,0,0,0,0,0,0.229,0,0.709,0,3.092
255,0,1.017,1.09,0.578,0,0,0.6,0,0,0,0,0.436,0.491,4.346
256,1,0,1.392,0.164,0.264,0,0.4,0,0,0,0,0.556,0.164,4.013
257,0,0,2.027,0,0,0,0,0,0.164,0,0,0.251,0.89,2.738
258,0.64,0,0.131,0,0,0,0,0,0.545,0,0.011,1.591,0.719,3.126
259,0,0,0.719,0,0,0,0,0,0,0,0,0.131,0.207,2.204
260,0.65,0.113,0,0,0,0,1.22,0.283,0,0,0,0.872,0,3.104
261,0,0,0.436,3.434,0.066,0,0,0,0,0.17,0,0.218,0.218,4.068
262,0.6,0,2.671,0.97,0.066,0,0,0.164,0,1.079,0.164,0.981,0,3.6
263,2.5,0,0.785,0,0,0,1.3,0,0,0,0,0.719,0.545,4.065
264,0.6,0,0.279,1.232,0,0,1.3,0,0.164,0,0.709,0.065,0.113,3.592
265,0,0,0,0,0,0,0.56,0,0,0.131,0,0.24,0,2.275
266,0.9,0.339,0.458,0.491,0,0,0.7,0,0,0,0,0,0,3.446
267,0,0,1.036,0,0,0,1.9,0,0,0,0.709,0.6,0,3.025
268,0.6,0,0,1.635,0.011,0,0,0,0,0,0,1.57,0,3.346
269,0,0,0,0,0,0,0,0,0,0.17,0.523,0,0,3.02
270,0,0,0.905,0.654,0.044,0,0,0,0,0,0,0,0.283,2.51
271,0,0,0,0,1.078,0,0,0,0,0.36,0,0.828,0,6.558
272,0.9,0,2.943,0.883,0.132,0,0,0.131,0.654,0,0,0.011,0.142,6.235
273,0.63,0,0,0,0,0,0.036,0,0,0,0,0.399,0,2.652
274,1.5,0,2.899,3.019,0.011,0,0.5,0.785,0,0,0,1.129,0.218,4.236
275,0,0,0.643,0,0.011,0,0.45,0,0,0,0,0,0,4.625
276,0,1.582,0,0,0,0,1.5,1.417,0,0.36,0.185,0.273,0.218,5.253
277,2.4,0,0,0.654,0,0,2,0,0,0.948,0,0.164,0,3.265
278,0,0,1.543,0.6,0,0,0.545,0,0,0,0,0,1.69,3.142
279,0,0,0.61,0.24,0,0,0.65,1.363,0,0,0,0,0.61,2.221
280,0,0,2.398,1.384,0.099,0,0,1.635,0,0,0.055,0.937,0.491,2.021
281,0,0,0,0.523,0.143,0,0,0,0.545,0.142,0,0.382,0.338,3.625
282,0,0,0,0.85,0.072,0,0,1.417,0.61,0,0,0,0.545,4.259
283,1.5,0.565,0.251,0,0,0,0.6,0.676,0,0.131,0,0,0.131,6.65
284,0,0.565,0.719,0,0.11,0.032,0.15,0,0,0,0,0.48,1.297,4.698
285,0,0,1.613,0.763,0.132,0,0.66,0,0,0.24,0,0,0,4.745
286,0,0.735,1.82,0.61,0,0,0,0.703,0,0,0,1.101,0,5.236
287,0.6,0,0.654,0,0,0,1.37,0.496,0,0.251,0.719,0.403,0.676,3.658
288,0,0,0,0,0,0,0,0,0,0,0,0.109,0.687,3.265
289,0,0.961,0.61,0,0,0,0,0,0,0,0,1.624,0.763,4.528
290,0.25,0,0.174,0,0,0,0.96,0.927,0,0,0,0,0,2.625
291,0,0,0.682,0.611,0,0,0.41,0,0,0.251,0,0.407,0,3.669
292,0,0,0.458,0,0.055,0,0.52,0.164,0,0,0,0,0.174,4.857
293,0,0,0.36,0,0,0,0.45,0,0,0,0,0.654,0,1.258
294,0,0,1.353,0,0,0,0.85,0,0,0,0,0.886,0.109,1.587
295,0,0.339,0,0,0,0,0,0,0,0,0,0,0.797,2.012
296,0,0,0.453,0.36,0,0,0.15,0,0,0,0,0,0,1.952
297,0,0,1.101,0.164,0,0,0,0,0,0,0,0.392,0,1.552
298,0,0,0.676,0.283,0,0,0.4,0,0,0,0,1.243,0,2.625
299,0.41,0,1.275,0.327,0,0,0,0,0,0,0,0.164,0.164,2.326
300,0,0.588,0,0,0,0,0.15,0,0,0,0,1.512,0,5.258
301,0,0,0.136,0.719,0,0,0,0,0,0,0,0,0,2.986
302,0,0,0,0.654,0,0,1.28,0,0,0,0,0.392,0,3.977
303,0,0,1.45,0,0,0,0.61,0,0,0.327,0,0.711,0,3.697
304,0,0,0.164,0,0,0,0.99,0,0,0.055,0,0.164,0,4.012
305,0.36,0,1.412,0.97,0.011,0,0,0,0,0.011,0,0.109,0,4.152
306,0,0,0,1.602,0.055,0,0.36,0,0,0,0.011,0.164,0,2.32
307,0,0.373,0.687,0.676,0,0,0.38,0,0,0.327,0,0.12,0,2.447
308,1.5,0,2.093,0,0,0,0,0,0,0,0,0.349,0.621,3.249
309,0,0.17,0.556,0.327,0.011,0,0.36,0.18,0,0,0,0.711,0.327,2.921
310,0,0.203,0,0,0,0,0.15,0.164,0,0,0,0.349,0.164,2.499
311,0.23,0.407,0.545,0,0,0,0,0.872,0,0,0,0.523,0.164,3.014
312,0,0.136,1.177,0,0.044,0,0,0,0,0,0,1.264,0,2.715
313,0,0,0.567,0,0,0.058,0.63,0,0,0.251,0,0.414,0.676,3.21
314,0,0,0.6,0.251,0,0,0.18,0,0,0,0,0.452,0,2.343
315,0.52,0,0.905,0.251,0.033,0,1.24,0.447,0,0.414,0,0,0.818,3.497
316,0.12,0.283,0.85,0.349,0,0,0,0,0,0.382,0,0.164,0,2.791
317,0.45,0,1.929,0,0,0,1.23,0,0,0,0,0.371,0,2.973
318,0.36,0,0.97,0.283,0,0.011,0.52,0,0,0,0,0,0.251,2.821
319,0.15,0,0.458,0.349,0,0,0.55,0,0,0,0.719,0.6,0.251,2.778
320,0,0.203,0.6,0.131,0.011,0.022,0.12,0.164,0,0,0.164,1.166,0,2.939
321,0.23,0,2.049,0,0,0,0.25,0,0,0.12,0,0.589,0.523,2.777
322,0.15,0.362,1.166,0,0,0,0.25,0,0,0.153,0,0,0,2.837
323,0.75,0,1.281,0,0,0,3.51,0.164,0,0.12,0.327,0.24,0.12,3.988
324,0.21,0.26,0.861,0.48,0,0,0,0.12,0,0.196,0,0.448,0,2.906
