ACLM,ACH,LTLM,LTH,PLM,PH,BH,PaLM,PaH,RuLM,RuH,DBL,DBH,RoadRoidIRI
0.0,1.356,0.545,0.654,0.0,0.0,0.0,2.834,0.0,0.0,0.0,0.0,0.0,4.648
0.0,0.0,0.61,0.632,0.165,0.0,0.0,1.363,0.0,0.327,0.0,1.962,0.0,3.524
1.45,0.0,2.562,0.0,0.0,1.091,0.0,0.0,1.69,0.403,0.0,0.709,0.131,13.779
0.0,0.0,1.254,0.872,0.0,0.086,0.48,0.512,0.0,0.0,2.18,0.0,0.0,3.809
0.0,0.712,0.97,0.0,0.0,0.065,2.6,0.719,0.0,0.0,0.0,0.164,0.48,5.014
0.0,1.808,0.0,3.052,0.0,0.0,0.0,0.0,0.0,0.719,0.251,0.927,0.782,6.552
0.6,0.0,0.0,1.221,0.099,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.436,3.979
0.0,1.017,0.0,0.763,0.66,0.065,0.0,0.6,0.0,0.327,0.807,0.0,0.251,7.166
1.65,0.0,0.283,0.24,0.011,0.324,0.26,0.0,0.0,0.0,0.0,0.0,0.0,5.954
0.52,0.0,1.461,0.61,0.099,0.119,0.15,0.0,0.719,0.0,0.349,0.469,0.164,4.723
0.04,1.187,0.36,0.0,0.0,0.108,1.0,2.507,0.0,0.164,0.0,3.375,0.0,5.969
1.2,1.469,0.709,0.251,0.363,0.0,1.05,0.709,0.0,0.0,0.0,0.0,0.491,6.884
0.9,0.0,1.036,13.625,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,9.659
0.0,2.802,1.482,0.0,0.682,0.0,2.42,2.703,0.0,0.0,0.0,2.998,0.164,10.524
0.0,0.0,2.245,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.273,1.352,0.0,2.562
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.0,2.074
0.0,1.424,0.164,0.403,0.253,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,5.583
0.45,0.0,0.0,0.0,0.341,0.0,0.0,0.491,0.0,0.164,0.61,0.709,0.0,3.754
0.04,0.0,3.804,0.654,0.44,0.0,0.6,0.0,0.0,0.0,0.0,1.025,0.606,6.12
0.8,0.0,0.872,0.36,0.0,0.0,0.62,0.0,0.545,0.0,0.0,0.131,0.403,6.231
0.0,0.0,1.733,0.0,0.022,0.756,0.0,0.0,0.48,1.036,0.0,0.327,0.164,10.258
0.3,0.0,0.545,0.981,0.0,0.648,1.23,0.0,0.0,0.0,1.046,0.109,0.0,12.651
1.2,0.0,0.343,0.0,0.055,0.0,3.2,0.0,0.0,0.6,0.0,0.0,0.0,6.321
0.0,0.0,0.654,0.834,0.088,0.0,1.0,0.654,0.0,0.0,0.0,0.24,1.036,4.215
0.0,0.0,0.894,0.654,0.077,0.0,0.0,0.196,0.0,0.0,0.0,1.369,0.164,3.205
0.3,0.0,0.251,0.752,0.132,0.011,0.0,0.0,0.0,0.0,0.0,1.008,0.0,3.354
1.23,0.113,0.741,0.0,0.132,0.022,0.33,0.0,0.6,0.392,0.0,0.327,0.164,5.26
0.0,1.085,2.987,0.0,0.165,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,3.325
0.0,0.0,1.308,0.981,0.22,0.0,0.0,0.164,0.654,0.491,0.055,0.85,0.0,3.652
0.0,0.0,0.698,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.894,0.828,0.0,4.21
1.11,0.0,0.0,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,2.852
1.842,1.446,0.0,0.0,0.0,0.0,1.28,2.638,0.0,0.0,0.087,0.981,0.327,6.958
2.5,0.0,0.545,3.488,0.0,0.0,0.0,0.0,0.0,0.719,0.0,0.0,0.0,4.258
0.0,0.904,1.624,0.251,0.0,0.0,1.1,0.164,0.0,0.523,0.0,1.635,0.0,4.625
0.0,0.0,0.861,1.254,0.33,0.0,0.0,0.12,0.0,0.0,0.0,0.327,0.174,4.005
0.8,0.0,1.09,1.951,0.022,0.0,0.0,0.0,0.0,0.0,0.567,1.264,0.0,3.758
0.0,0.0,0.491,0.12,0.0,0.076,0.0,0.0,0.164,0.0,0.654,0.0,2.017,3.258
0.9,2.373,0.676,2.136,0.0,0.0,2.1,0.0,0.0,0.0,0.251,0.164,0.153,4.259
1.2,0.0,0.392,0.883,0.0,0.0,0.99,0.0,0.719,0.0,0.0,0.305,0.0,3.652
0.0,0.678,0.0,1.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.387,3.021
1.4,0.0,0.545,0.273,1.375,0.0,1.2,0.218,0.327,0.0,0.0,1.264,1.472,7.252
0.0,0.0,1.962,0.872,0.0,0.259,0.8,0.0,0.0,0.0,0.0,0.85,0.491,3.258
0.9,1.356,0.0,0.164,0.165,0.0,0.2,0.567,1.417,0.0,0.0,1.657,0.0,6.369
0.0,0.509,0.327,0.654,0.0,0.281,0.0,0.0,1.046,0.0,0.0,0.0,0.131,5.985
1.56,0.0,2.071,0.218,0.0,0.162,1.65,0.0,0.0,0.0,0.0,0.741,0.0,5.652
2.45,0.961,1.379,0.158,0.165,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,5.625
0.11,0.0,0.349,1.417,0.055,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,3.854
0.8,0.0,1.308,0.0,0.198,0.0,0.5,0.0,0.0,0.0,0.523,0.0,0.0,3.519
1.2,0.0,0.164,2.18,0.33,0.0,0.0,1.373,0.0,0.0,0.0,0.61,1.079,5.557
1.9,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.491,0.61,4.185
0.0,0.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.251,0.0,2.105
0.0,0.296,1.395,0.436,0.0,0.086,0.54,0.492,0.0,0.164,0.0,0.0,0.0,3.859
0.65,0.0,0.0,1.962,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.21,0.0,3.651
0.0,0.0,1.417,0.0,0.0,0.0,2.1,0.164,0.0,0.0,0.0,0.487,0.654,3.347
0.15,0.565,0.676,1.417,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.033,1.417,5.456
0.0,0.0,2.398,2.507,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.788,0.0,4.566
0.56,0.0,0.48,0.578,0.0,0.0,1.2,0.0,0.0,0.0,0.016,0.0,1.09,3.498
1.2,0.0,0.283,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,2.706
0.0,0.0,0.317,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,2.138
