AC1,AC2,AC3,BE1,BE2,BE3,D1,D2,D3,F1,F2,F3,G1,G2,G3,H1,H2,H3,IRI
0.0,0.08,0.0,0.23,0.0,0.45,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13
0.42,0.06,0.56,0.12,0.46,0.15,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,3.75
0.0,0.66,0.0,0.32,0.66,0.0,0.0,0.43,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.66,0.0,3.48
0.25,1.1906,0.662,0.0,0.15,0.32,0.021,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85
0.0,0.0,0.0,0.55,0.33,0.64,0.21,0.55,0.05,0.0,0.0,0.0,0.0,0.15,0.66,0.0,0.66,0.0,3.94
0.21,1.05,0.45,0.0,0.0,0.12,0.3,0.66,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,5.83
0.0,0.0,0.0,0.0,0.96,1.35,0.0,0.55,0.0,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.0,0.6,4.47
0.0,0.14,0.98,0.66,0.32,1.42,0.66,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19
0.66,0.7,0.66,0.0,0.0,0.67,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32
1.2,0.13,0.262,0.1,0.1,0.27,0.023,0.12,0.23,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51
1.308,0.712,0.3976,0.0,0.0,0.0,0.4,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58
0.515,0.0,0.28,0.68,0.0,1.62,0.362,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.165,0.0,0.51,0.0,3.38
0.0,0.32,0.0,0.0,0.0,0.0,0.51,0.0,0.33,0.0,0.07,0.0,0.0,0.0,0.6456,0.1,0.0,0.0,4.22
0.3,0.67,0.2,0.89,0.23,0.0,0.0,0.52,0.15,0.0,0.0,0.0,0.0,0.0,0.63,0.11,0.85,0.0,4.63
1.2,0.0,0.0,0.23,0.0,0.0,0.2,0.12,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.22,0.3,4.55
0.0,0.11,0.15,0.0,0.51,0.623,0.71,0.031,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18
0.874,0.26,0.15,0.0,0.6,0.85,0.0,0.16,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01
0.0,0.321,0.0,0.0,0.75,0.23,0.0,0.0,1.0,0.66,0.0,0.0,0.0,0.23,0.15,0.56,0.0,0.6,4.84
0.0,0.9,0.3,0.0,0.23,0.76,0.0,0.3,0.91,0.0,0.0,0.0,0.0,0.33,0.0,0.23,0.0,0.0,6.25
0.1,0.49,0.3,0.0,0.7,0.09,0.147,0.0,0.6,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,6.71
0.0,2.13202,0.0,0.12,0.2,0.501,0.6,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.42
0.0,0.23,0.0,0.0,0.58,0.26,0.0,0.0,0.23,0.0,0.0,0.0,1.2,0.0,0.33,0.23,0.14,0.0,4.27
1.2,1.1,3.33,0.0,1.4,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48
0.45,1.036,0.22,0.0,2.6,0.0,0.74,0.58,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07
0.6,0.6,0.12,0.15,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,2.34
0.05,0.32,0.0,0.0,1.46,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15
0.6,0.6,0.12,0.15,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,2.35
1.36,0.0,0.11,0.0,0.145,0.22,0.12,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
0.0,0.0,0.32,0.0,0.0,0.2,0.12,0.0,0.23,0.09,0.02,0.02,0.11,0.23,0.0,0.11,0.12,0.0,6.9
0.12,0.6,0.42,0.0,0.06,0.66,0.0,0.0,1.17,0.01,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,7.77
0.98,0.0,0.0,0.26,1.42,0.0,0.12,0.212,0.0,0.0,0.0,0.06,0.0,0.15,0.56,0.0,0.65,0.0,7.22
0.33,0.6,1.521,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.15,0.0,0.0,0.0,8.41
0.0,0.0,1.2,0.0,0.78,0.11,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.33,0.0,0.0,0.32,8.77
1.476,0.6,0.95,0.32,0.62,1.41,0.0,1.166,0.126,0.0,0.01,0.12,0.0,0.05,0.15,0.0,0.2,0.2,9.22
0.56,0.5,1.26,0.66,0.0,0.08,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
0.0,1.11,0.0,0.11,0.67,0.77,0.0,0.2,0.23,0.04,0.09,0.0,0.0,0.0,0.22,0.15,0.0,0.0,8.12
1.0,0.0,1.01,0.23,0.0,0.32,0.2015,0.5,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
0.0,0.66,0.6,0.78,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.2,0.0,0.11,0.0,0.0,0.15,0.0,11.21
1.2,0.6,1.15,0.0,0.0,0.3,0.78,0.25,1.02,0.0,0.0,0.23,0.0,0.0,0.0,0.01,0.3,0.0,12.52
0.0,0.0,0.0,0.15,0.0,0.11,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,2.31
0.15,0.459,0.63,0.0,0.0,0.4,0.0,0.63,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.33,0.0,0.0,2.05
0.0,0.015,0.0321,0.0,0.6,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12
0.05,0.0,0.756,0.0,0.31,0.0,0.68,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
0.0,0.0,0.0,0.2,0.0,0.09,0.0,0.0,0.0,0.01,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,1.52
1.0,1.25,0.645,0.66,0.23,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.99,0.19,0.0,0.0,0.5,6.05
0.0,0.3,0.6,0.6,0.0,0.4,0.0,0.0,0.2,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.08,6.01
0.0,0.63,1.38,0.0,0.0,0.25,0.126,0.0,0.0,0.0,0.1,0.0,0.0,0.33,0.0,0.0,0.0,0.0,5.85
0.1,0.2,0.2,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.4,0.0,6.35
0.23,1.32,1.83,0.0,0.11,0.0,0.25,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,6.5
0.056,1.42,0.65,0.0,2.118,2.4,0.23,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.78,0.0,0.0,6.45
0.0,1.49,1.03,0.0,0.4,0.7,0.0,0.3,0.16,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.15,0.0,6.7
0.0,1.8,1.79,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.02,0.0,0.0,0.48,0.0,0.0,0.0,0.0,6.15
0.71,0.6,0.0,0.0,2.16,0.512,0.0,0.76,0.6,0.0,0.0,0.0,0.0,0.0,0.99,0.85,0.0,1.56,7.15
0.0,0.93,0.0,0.75,3.64,0.0,0.74,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.26,0.0,0.0,0.33,7.62
0.45,0.0,0.95,1.115,0.0,0.45,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65
1.5,2.4,0.0,0.1,1.2,0.1,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,7.56
0.0,0.5,1.8,0.0,0.4,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.6,0.0,7.93
0.0,0.56,0.58,0.0,0.0,1.2,0.0,0.65,0.12,0.15,0.0,0.0,0.0,0.0,0.45,0.0,1.25,0.0,7.61
0.0,3.8,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.55,8.86
1.0,0.15,0.8,0.0,0.33,1.98,0.15,0.0,0.44,0.0,0.0,0.08,0.0,0.3,0.0,0.47,0.0,0.0,8.24
